TDS,EC,pH,SI1,SI2,SI3,SI4,SI5,SI6
0.563673812,0.733727811,0.779850746,0.472427455,0.488496474,0.158175649,0.301947837,0.012390554,0.283523635
0.039167728,0.053254438,0.302238806,0.569561241,0.550136351,0.232687333,0.305722565,0.026835166,0.250646728
0.55418846,0.733727811,0.817164179,0.569561241,0.550136351,0.232687333,0.305722565,0.026835166,0.250646728
0.54097672,0.704142012,0.824626866,0.569561241,0.550136351,0.232687333,0.305722565,0.026835166,0.250646728
0.356920242,0.464497041,0.421641791,0.569561241,0.550136351,0.232687333,0.305722565,0.026835166,0.250646728
0.032782054,0.044378698,0.145522388,0.569561241,0.550136351,0.232687333,0.305722565,0.026835166,0.250646728
0.027937749,0.038461538,0.134328358,0.569561241,0.550136351,0.232687333,0.305722565,0.026835166,0.250646728
0.032782054,0.044378698,0.205223881,0.569561241,0.550136351,0.232687333,0.305722565,0.026835166,0.250646728
0.115999079,0.213017751,0.447761194,0.462591735,0.460170844,0.154202273,0.290776637,0.011886675,0.269106513
0.586370904,0.763313609,0.776119403,0.463005687,0.460440044,0.154511258,0.291502853,0.011934058,0.269774371
0.586370904,0.763313609,0.77238806,0.4633777,0.460680437,0.154789024,0.292163799,0.011976715,0.27038321
0.344358926,0.461538462,0.51119403,0.491703492,0.481998366,0.174374318,0.296042719,0.015158551,0.266971462
0.02114556,0.047337278,0.208955224,0.516805417,0.501186238,0.192991556,0.303114813,0.018496463,0.266626282
0.086526735,0.162721893,0.223880597,0.498341828,0.487085473,0.179168723,0.297172506,0.015989196,0.26618946
0.098552806,0.183431953,0.582089552,0.516805417,0.501186238,0.192991556,0.303114813,0.018496463,0.266626282
0.170031708,0.233727811,0.097014925,0.708883967,0.685263018,0.360745551,0.480694296,0.064526446,0.397008318
0.32857259,0.449704142,0.194029851,0.706159011,0.682711157,0.357847543,0.478445754,0.063497156,0.395802471
0.036559256,0.050295858,0,0.716765494,0.692568476,0.369227891,0.487883565,0.06758316,0.401224844
0.163595219,0.224852071,0.044776119,0.716765494,0.692568476,0.369227891,0.487883565,0.06758316,0.401224844
0.106818945,0.106818945,0.151851852,0.695113057,0.684776917,0.345911916,0.475538366,0.059725814,0.403512176
0.101108498,0.101108498,0.307407407,0.695113057,0.684776917,0.345911916,0.475538366,0.059725814,0.403512176
0.104803493,0.104803493,0.237037037,0.695113057,0.684776917,0.345911916,0.475538366,0.059725814,0.403512176
0.002687269,0.002687269,0.196296296,0.684332443,0.676848555,0.334465077,0.468476812,0.055881556,0.401408027
0.004030904,0.004030904,0.214814815,0.684332443,0.676848555,0.334465077,0.468476812,0.055881556,0.401408027
0.010413168,0.010413168,0.218518519,0.684332443,0.676848555,0.334465077,0.468476812,0.055881556,0.401408027
0.088008062,0.088008062,0.27037037,0.680742716,0.673498775,0.331101301,0.467008163,0.054765917,0.401231013
0.084648975,0.084648975,0.259259259,0.680742716,0.673498775,0.331101301,0.467008163,0.054765917,0.401231013
0.080618072,0.080618072,0.248148148,0.680742716,0.673498775,0.331101301,0.467008163,0.054765917,0.401231013
0.083305341,0.083305341,0.203703704,0.678392141,0.671861305,0.328552019,0.465199553,0.053934332,0.400486083
0.081961706,0.081961706,0.214814815,0.678392141,0.671861305,0.328552019,0.465199553,0.053934332,0.400486083
0.084984884,0.084984884,0.188888889,0.678392141,0.671861305,0.328552019,0.465199553,0.053934332,0.400486083
0.084984884,0.084984884,0.207407407,0.683966323,0.676688726,0.334018348,0.468119118,0.0557351,0.401264381
0.084984884,0.084984884,0.144444444,0.683966323,0.676688726,0.334018348,0.468119118,0.0557351,0.401264381
0.087000336,0.087000336,0.177777778,0.683966323,0.676688726,0.334018348,0.468119118,0.0557351,0.401264381
0.59455828,0.59455828,0.4,0.679873156,0.673365393,0.329868999,0.465683487,0.054368,0.400500369
0.591871011,0.591871011,0.42962963,0.679873156,0.673365393,0.329868999,0.465683487,0.054368,0.400500369
0.580450118,0.580450118,0.455555556,0.679873156,0.673365393,0.329868999,0.465683487,0.054368,0.400500369
0.104803493,0.104803493,0.166666667,0.748738579,0.735272306,0.400369945,0.534909153,0.079948366,0.447577588
0.10312395,0.10312395,0.244444444,0.748738579,0.735272306,0.400369945,0.534909153,0.079948366,0.447577588
0.105139402,0.105139402,0.262962963,0.748738579,0.735272306,0.400369945,0.534909153,0.079948366,0.447577588
0.020154518,0.020154518,0.22962963,0.769465352,0.757450922,0.421776854,0.565583039,0.08877958,0.474834351
0.019482701,0.019482701,0.225925926,0.769465352,0.757450922,0.421776854,0.565583039,0.08877958,0.474834351
0.020826335,0.020826335,0.266666667,0.769465352,0.757450922,0.421776854,0.565583039,0.08877958,0.474834351
0.078266711,0.078266711,0.296296296,0.749568279,0.737890938,0.40064233,0.54328378,0.08010629,0.458237597
0.074571716,0.074571716,0.303703704,0.749568279,0.737890938,0.40064233,0.54328378,0.08010629,0.458237597
0.077930803,0.077930803,0.296296296,0.749568279,0.737890938,0.40064233,0.54328378,0.08010629,0.458237597
0.078266711,0.078266711,0.233333333,0.76032805,0.748986115,0.411829761,0.557449014,0.08465535,0.470068751
0.087336245,0.087336245,0.251851852,0.76032805,0.748986115,0.411829761,0.557449014,0.08465535,0.470068751
0.084984884,0.084984884,0.259259259,0.76032805,0.748986115,0.411829761,0.557449014,0.08465535,0.470068751
0.075579442,0.075579442,0.285185185,0.774285054,0.762345472,0.426926408,0.571749965,0.09096478,0.479821784
0.076587168,0.076587168,0.27037037,0.774285054,0.762345472,0.426926408,0.571749965,0.09096478,0.479821784
0.075915351,0.075915351,0.314814815,0.774285054,0.762345472,0.426926408,0.571749965,0.09096478,0.479821784
0.551226067,0.551226067,0.392592593,0.773050153,0.761591172,0.425434508,0.572296851,0.09034263,0.481392255
0.560967417,0.560967417,0.455555556,0.773050153,0.761591172,0.425434508,0.572296851,0.09034263,0.481392255
0.565334229,0.565334229,0.466666667,0.773050153,0.761591172,0.425434508,0.572296851,0.09034263,0.481392255
0.115216661,0.115216661,0.425925926,0.789104479,0.774120222,0.442591913,0.580608239,0.09766947,0.481494099
0.113201209,0.113201209,0.377777778,0.789104479,0.774120222,0.442591913,0.580608239,0.09766947,0.481494099
0.112529392,0.112529392,0.403703704,0.789104479,0.774120222,0.442591913,0.580608239,0.09766947,0.481494099
0.025864965,0.025864965,0.340740741,0.801125541,0.788181247,0.455134068,0.601595587,0.1033619,0.501723353
0.025193147,0.025193147,0.307407407,0.801125541,0.788181247,0.455134068,0.601595587,0.1033619,0.501723353
